process_execution_frequency,network_connection_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst,network_burst,process_diversity,destination_diversity,process_network_ratio,new_processes_ratio,new_destination_ratio,established_ratio,syn_sent_ratio,closed_ratio,ioc_matches,attack_type,label,v4_prediction,v4_isolation_score,ml_component,behavior_component,temporal_persistence,v5_ensemble_score,v5_risk_score,v5_prediction,v5_severity
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.21410149882703605,0.12971989198026113,0.038555487811152256,0.0,0.08098481254193168,8.098481254193167,0,LOW
2.0,0.0,2.0,0.0,0.0,0.3333,0.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.18255447259169622,0.20253180827626843,0.02272816248765506,0.0,0.11707453517386142,11.707453517386142,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
3.0714714518561843,0.0,2.109174955254114,5.0,2.0,0.5418793680902682,2.5,0.6804906167408051,0.7,2.91692164718352,0.3541752019923687,0.8,0.0,0.0,0.0,0.0,network_burst,1,1,-0.007908838841236498,0.6421294611916408,0.1712501911269357,0.2,0.4359837514371364,43.59837514371364,0,LOW
3.7598205213280464,0.0,3.129244277769481,0.0,0.0,2.5,0.0,0.9795156387649882,0.0,0.9977168090703068,0.8,0.0,0.0,0.0,0.0,0.0,process_burst,1,0,0.08167890528817412,0.4353570295197306,0.08192562376314419,0.0,0.25992777217663793,25.992777217663793,0,LOW
3.0497869572393363,0.0,5.0,0.0,0.0,2.0,0.0,1.007501532507441,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,collection,1,0,0.03845929028916406,0.5351097911961492,0.06311512912768238,0.0,0.3100891674398027,31.00891674398027,0,LOW
2.0,3.0,2.0,3.0,2.0,0.3333,0.5,1.0,1.0,0.6667,1.0,0.6667,0.0,0.0,0.0,0.0,normal,0,0,0.02375394253885721,0.5690503769588595,0.2000151651830926,0.0,0.3629814986231459,36.29814986231459,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
4.0,1.0,2.0,1.0,1.0,0.6667,0.1667,0.5,1.0,4.0,0.25,1.0,0.0,0.0,0.0,0.0,normal,0,0,0.0778208957236789,0.4442614843289937,0.17132755876465913,0.0,0.28717570607211135,28.717570607211133,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
0.0,2.7450103844109255,0.0,7.0,3.0,0.0,0.160439223859222,0.0,1.0466248949119092,0.0,0.0,0.9439159184404184,0.0,0.0,0.0,0.0,discovery,1,1,-0.022682506980495565,0.6762277334001222,0.2907632159266781,0.2,0.48461605735173685,48.461605735173684,0,MEDIUM
2.0,0.0,2.0,0.0,0.0,0.3333,0.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.18255447259169622,0.20253180827626843,0.02272816248765506,0.0,0.11707453517386142,11.707453517386142,0,LOW
2.475368793909144,0.0,0.9929205174386072,0.0,0.0,2.0,2.0,0.9330157204175624,0.0,0.965383891038445,0.0,0.0,0.0,0.0,0.0,2.0,ioc_activity,1,0,0.08392244619949818,0.4301788389725975,0.05175583935436898,0.0,0.2495373212735209,24.95373212735209,0,LOW
2.3494783557965975,0.0,1.0312095210122358,0.0,0.0,2.0,2.0,1.0389065582572763,0.0,0.931947693524542,0.0,0.0,0.0,0.0,0.0,2.0,ioc_activity,1,0,0.08533086948656077,0.426928136427073,0.04910079355451586,0.0,0.24708567342351914,24.708567342351913,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
2.864547321130862,0.0,6.0,6.0,2.0,2.5,2.5,0.9389675372962784,0.0,0.9967023282007362,0.8,0.8,0.0,0.0,0.0,0.0,lateral_movement,1,1,-0.07014359267961112,0.7857699949578986,0.20350208913741427,0.2,0.5230490195111978,52.304901951119774,0,MEDIUM
9.0,2.0,2.0,1.0,1.0,1.5,0.3333,0.2222,0.5,4.5,0.1111,0.5,0.0,0.0,0.0,0.0,normal,0,0,0.02344135093121369,0.5697718520608479,0.2303944971380919,0.0,0.37097314291798933,37.09731429179893,0,LOW
3.0,0.0,2.0,0.0,0.0,0.5,0.0,0.6667,0.0,3.0,0.6667,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.13672011397514838,0.30831951258073126,0.06018035105612837,0.0,0.1846208196834343,18.46208196834343,0,LOW
2.6087387929853283,0.0,1.0425772582864203,0.0,0.0,2.0,2.0,1.0698783103416878,0.0,0.9509544848195074,0.0,0.0,0.0,0.0,0.0,2.0,ioc_activity,1,0,0.08127004098058865,0.43630070622378037,0.053356306936002434,0.0,0.25330446515707983,25.330446515707983,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
1.0,0.0,1.0,0.0,0.0,0.1667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,0,0,0.2703048930477036,0.0,0.010146396902061346,0.0,0.0025365992255153365,0.25365992255153363,0,LOW
0.9378726983345708,0.0,1.092874638978296,7.0,3.0,0.1736295154393442,0.0,1.0951795080735791,0.9,1.088676470255571,0.0,0.9,0.0,0.0,0.0,0.0,discovery,1,1,-0.002571558984516664,0.6298107858503653,0.13781170126752407,0.2,0.420848857534582,42.0848857534582,0,LOW
0.9809988122991636,0.0,1.0948834246217694,7.0,3.0,0.179082778951952,0.0,0.9858052242714824,0.9,0.9071797772014718,0.0,0.9,0.0,0.0,0.0,0.0,discovery,1,1,-0.0029609348943084868,0.6307094824799603,0.1311476809521987,0.4,0.4596771356020279,45.96771356020279,0,MEDIUM
